item,reading,description,example,level,sort,tag,category
"占う","うらなう","dự báo , dự đoán , bói toán","占い師はに運勢を占ってもらった: Thầy bói đã xem vận thế giúp tôi.","N2","7",",400dongtu,lesson2,",""
"乗せる","のせる","chất lên, xếp lên","〜を...の上に乗せる: chất ... lên....","N2","8",",400dongtu,lesson2,",""
"試す","ためす","thử nghiệm","いままで食べたことのない新しい食べ物を試す: Thử một món ăn mà trước đây ai đó chưa bao giờ có","N2","9",",400dongtu,lesson2,",""
"妨げる","さまたげる","gây trở ngại","交通を妨げる: gây trở ngại giao thông<br>成長を妨げる: cản trở sự phát triển<br>通報を妨げる: cản trở việc tố giác.","N2","10",",400dongtu,lesson2,",""
"伺う","うかがう","thăm","次の日曜日にお宅に伺ってもよろしいでしょうか。: Chủ nhật tới tôi đến thăm nhà bác có được không ?<br>その問題について先生のご意見を伺いに参りました。: Em đến hỏi ý kiến thầy về vấn đề này.<br>高橋さんのお父さんは高名な数学者だと伺っております。: Nghe nói bố của anh Takahashi là một nhà toán học nổi tiếng.","N2","11",",400dongtu,lesson2,",""
"為す","なす","làm, hành động"," 常に為すべきことを為せば、何が起ころうと心配はない。: Hãy làm những gì bạn phải làm , như thế sẽ không phải lo điều không hay sẽ xảy ra.","N2","12",",400dongtu,lesson2,",""
"加える","くわえる","thêm vào","危害を加える: gây thêm tai hoạ<br>2 に 3 を加えると 5 だ: Thêm 3 với 2 sẽ được 5.<br>速力を加える: tăng tốc.<br>私を加えてくれ。:Cho tôi tham gia với.<br>補足的な説明を加える: Bổ sung thêm cho phần giải thích.","N2","13",",400dongtu,lesson2,",""
"押さえる","おさえる","giữ, kìm nén, bắt giữ","この段ボール箱を中に入れるまでドアを押さえてて！: Hãy giữ cái cửa ra vào cho đến khi tôi mang cái hộp cáctông này vào trong.<br>怒りを押さえる:Kìm nén cơn tức giận<br>声を押さえる: Kìm giọng xuống, hạ giọng xuống.<br>犯人を現場で押さえる: Tên tôi phạm bị bắt tại trận.","N2","14",",400dongtu,lesson2,",""
"限る","かぎる","hạn chế , giới hạn","おいしいスパゲティならあの店に限る:  món spagetty ngon thì chỉ có  ở quán ấy<br>パッケージツアーで行くに限る: chỉ giới hạn ở đi tua trọn gói","N2","15",",400dongtu,lesson2,",""
"縮める","ちぢめる","thu gọn, nén lại","休暇を 2 週間に縮める : rút ngắn ngày nghỉ xuống còn 2 tuần.<br>意見を3, 4 行に縮める:Gói gọn ý kiến trong khoảng từ 3~4 dòng.","N2","16",",400dongtu,lesson2,",""
"追い越す","おいこす","vượt qua","カーブで追い越すのは非常に危険だ。: Chạy vượt ở khúc cua rất là nguy hiểm<br>彼の車がバスを追い越した。: Chiếc xe của anh ta chạy vượt qua chiếc xe buýt","N2","17",",400dongtu,lesson2,",""
"濁る","にごる","đục (nước)","この川の水は濁っている。: Nước của con sông này đục","N2","18",",400dongtu,lesson2,",""
"出迎える","でむかえる","đón","お客様を出迎える: Đi đón khách","N2","19",",400dongtu,lesson2,",""
"照らす","てらす","chiếu sáng, soi rọi, soi","法律に照らして処分する: Chiếu theo pháp luật mà xử lý<br>月の光が美しい湖を照らしていた.Ánh trăng phản chiếu tuyệt đẹp lên mặt hồ. ","N2","20",",400dongtu,lesson2,",""
"畳む","たたむ","gấp, xếp","子供は自分の布団を畳む: bọn trẻ tự gấp chăn","N2","1",",400dongtu,lesson3,",""
"踏む","ふむ","Dẫm , đạp","正規の手続きを踏めば認可が下りるまでに半年はかかる。: Nếu trải qua các thủ tục thường lệ thì phải mất đến nửa năm cho đến khi có được sự cho phép.<br>満員電車の中で僕はうっかり女性の足を踏んでしまった。:  Do sơ ý, tôi đã dẫm lên chân một người phụ nữ trên tàu điện.","N2","2",",400dongtu,lesson3,",""
"","まとまる","Tổng hợp , huy động","やがて考えがまとまってきた: Cuối cùng thì những ý tưởng của tôi cũng đã được hệ thống lại.<br>まとまった金: Số tiền được huy động","N2","3",",400dongtu,lesson3,",""
"揃える","そろえる","sắp xếp, cải biên, chỉnh đốn","生徒達は声をそろえて校歌を歌った: Các em học sinh đồng ca bài hát của trường.<br>資料を揃える: thu thập tài liệu<br>靴を脱いだらそろえるようにしたらどうなの: sao không chịu sắp xếp lại giày dép đã gỡ ra.<br>家具を揃える: đã có đầy đủ đồ gia dụng","N2","4",",400dongtu,lesson3,",""
"区切る","くぎる","cắt bỏ, phân chia , phân khu , phân loại","文章を三つの段落に区切る: chia bài văn thành 3 phần","N2","5",",400dongtu,lesson3,",""
"吠える","ほえる","sủa, gào lên , la toáng lên","そう吠えるな: đừng có la toáng lên như thế<br>暗い路地で犬に吠えら れた:Tôi bị chó sủa khi đi qua một ngõ tối","N2","6",",400dongtu,lesson3,",""
"輝く","かがやく","nhấp nháy , lóng lánh","彼女の耳にはダイヤのイアリングが輝いていた。:  Cái khuyên tai bằng kim cương tỏa sáng lấp lánh trên tai cô ấy<br>彼の顔は喜びに輝いた: Niềm vui ánh lên trên gương mặt anh ấy.","N2","7",",400dongtu,lesson3,",""
"張り切る","はりきる","Đầy sinh khí, hăng hái, sung sức, cuồng nhiệt","今朝はあんなに張り切ってたのに、どうしただい。:  Tại sao sáng nay cậu còn hăng hái thế mà giờ lại ỉu xìu thế này?<br>張り切って働く: làm việc hăng hái.<br>彼は課長に昇進して張り切っている: Vì được thăng chức lên trưởng ban nên anh ấy đang rất hăng hái / hăm hở.","N2","8",",400dongtu,lesson3,",""
"履く","はく","xỏ (giầy)","室内用スリッパを履く: đi dép dùng trong nhà","N2","9",",400dongtu,lesson3,",""
"心得る","こころえる","tinh tường, am hiểu","引き際を心得るべきだ。: bạn nên chọn thời gian thích hợp để kết thúc.<br>考古学者としてちゃんとした発掘をするには心得ておかなければならないことがたくさんある: Nhà khảo cổ học cần phải am hiểu nhiều điều trước khi tiến hành khai quật.<br>自分を何と心得ているか: Câu nghĩ cậu là ai ?","N2","10",",400dongtu,lesson3,",""
"蹴る","ける","đá, sút","","N2","11",",400dongtu,lesson3,",""
"流れる","ながれる","chảy, trôi đi","川が市中を流れている: Một con sông chảy trong lòng thành phố<br>涙が彼女のほおを伝って流れた: Nước mắt chảy rơi trên má cô ấy","N2","12",",400dongtu,lesson3,",""
"改める","あらためる","thay đổi , , sửa đổi","彼は名前を「宏」に改めた。: Anh ta cải tên thành Hiroshi.<br>息子は今後素行を改めるといっております。: Con trai tôi nói rằng nó sẽ sửa thái độ trong tương lai.","N2","13",",400dongtu,lesson3,",""
"","またぐ","Băng qua, vượt qua.","馬にけられる: Bị ngựa đá<br>我々の要求はあっさりとけられた: Yêu cầu của chúng tôi bị từ chối 1 cách thẳng thừng.","N2","14",",400dongtu,lesson3,",""
"剥がす","はがす","bóc ra, mở ra","封筒の切手を剥がす: bóc tem trên bì thư.","N2","15",",400dongtu,lesson3,",""
"被る","かぶる","đội mũ, chụp","船が被りながら近づいてきた: thuyền vừa chao đảo vừa tiến đến gần<br>麦藁帽子を被る: đội mũ rơm.<br>頭から水を被る: dội nước lên đầu","N2","16",",400dongtu,lesson3,",""
"真似る","まねる","Bắt chước, mô phỏng.","先生のしゃべり方をまねる: Nhại lại giọng nói của thầy.<br>この建物は中国の寺をまねて造ったものだ: tòa nhà này được xây dựng mô phỏng theo chùa của Trung Quốc.","N2","17",",400dongtu,lesson3,",""
"勧める","すすめる","khuyên, gợi ý, mời","","N2","18",",400dongtu,lesson3,",""
"綻びる","ほころびる","Rách, mục, hỏng.","ズボンのお尻は綻びた。: Cái quần của tôi bị rách mông.","N2","19",",400dongtu,lesson3,",""
"備える","そなえる","chuẩn bị, sẵn có","試験し備えて勉強する: gắng công để chuẩn bị thi<br>教室にコンピユーターを備える: trong phòng học có trang bị máy vi tính.<br>才能を備える: đầy đủ tài năng .","N2","20",",400dongtu,lesson3,",""
"凭れる","もたれる","Dựa vào , tựa vào, chống.","壁にもたれて座る: ngồi tựa lưng vào tường<br>油っこい料理は胃にもたれる:Đồ ăn nhiều mỡ làm nặng bụng.","N2","1",",400dongtu,lesson4,",""
"助ける","たすける","cứu, chi viện, ứng cứu","ぜひ助けて欲しいというときに彼は助けてくれなかった:Khi tôi thực sự cần sự trợ giúp của anh ấy thì anh ấy đã không làm.<br>溺れようとするところを助ける: Cứu trợ đúng vào lúc sắp chết đuối.","N2","2",",400dongtu,lesson4,",""
"縫う","ぬう","may, khâu","傷口を縫う: khâu vết thương<br>ズボンを縫う: may quần<br>人ごみの中を縫って歩く: luồn lắch qua đám đông mà đi.","N2","3",",400dongtu,lesson4,",""
"混じる","まじる","Được trộn, được hòa trộn.","異物が混じる: Có trộn dị vật ( vật lạ )","N2","4",",400dongtu,lesson4,",""
"狙う","ねらう","nhắm vào","彼女は手っ取り早い利益をねらってその土地を買った: Cô ấy mua mảnh đất đó nhằm mục đích thu lợi nhanh.<br>相手の頭に一撃を加えようとねらう: Ngắm đánh 1 đòn knockout vào đầu của đối thủ.","N2","5",",400dongtu,lesson4,",""
"彫る","ほる","Khắc, chạm, tạc tượng"," 私は指輪に自分の名前を彫ってもらった。: Tôi nhờ người khắc tên mình lên nhẫn.","N2","6",",400dongtu,lesson4,",""
"落ちる","おちる","không , rơi xuống , thả","〔汚れが〕落ちる: gột sạch (vết bẩn)<br>肩からストラップが何度もずり落ちる。: Dây đeo này mấy lần tuột khỏi vai.","N2","7",",400dongtu,lesson4,",""
"数える","かぞえる","đếm, đếm số","これまでに起こったたくさんの幸運（な出来事）を数える: đếm những lần mà vận may đã đến trong đời.","N2","8",",400dongtu,lesson4,",""
"驚かす","おどろかす","hù, làm cho giật mình, gây sợ hãi","後ろからわっと言ってあいつを驚かしてやろう。: Tôi hù nó từ phía sau bằng cách la to lên.<br>少年は世界を驚かすような大発見をした。: Cậu thiếu niên đã có một phát minh lớn làm ngạc nhiên cả thế giới.","N2","9",",400dongtu,lesson4,",""
"打ち消す","うちけす","bác bỏ , không nhận , cự tuyệt","私は学校を去るといううわさをすぐに打ち消した: Tôi đã phủ nhận ngay lập tức tin đồn nói là tôi sẽ bỏ học<br>非難を打ち消す: phủ nhận lời buộc tội.","N2","10",",400dongtu,lesson4,",""
"至る","いたる","đến","好機至る  thời cơ đã đến","N2","11",",400dongtu,lesson4,",""
"待ち合わせる","まちあわせる","Gặp nhau tại điểm hẹn, gặp nhau theo kế hoạch.","ロビーで友人と待ち合わせる : hẹn gặp bạn ở tiền sảnh<br>私たちは5時にそこで待ち合わせることにした。: Bọn tớ đã quyết định hẹn gặp nhau ở đó vào lúc 5 giờ.","N2","12",",400dongtu,lesson4,",""
"叫ぶ","さけぶ","hô hào, hét, la hò, chủ trương, kêu gọi","大声で叫ぶ: Gào to lên<br>声をからして叫ぶ: khản tiếng gào thét<br>労働条件改善を叫ぶ:  kêu gọi / chủ trương thay đổi điều kiện lao động","N2","13",",400dongtu,lesson4,",""
"割る","わる","Chia ra, cắt ra, làm vỡ, làm nứt, bẻ gãy.","2 つに割る : chia làm 2 phần<br>卵を割る : đập trứng<br>過半数を割る : rớt / giảm quá bán","N2","14",",400dongtu,lesson4,",""
"例える","たとえる","đưa ra ví dụ","例えるものがない: chẳng gì có thể so sánh<br> AをBに例える: lấy A làm ví dụ cho B","N2","15",",400dongtu,lesson4,",""
"縮れる","ちぢれる","nhăn nhúm, co rút, co lại","縮れている着物:　quần áo nhàu nát","N2","16",",400dongtu,lesson4,",""
"接する","せっする","tiếp xúc, tiếp đãi, liên kết, kết nối","彼は職業上外国人に接する機会が多い:  Do đặc thù công việc nên anh ấy có nhiều cơ hội tiếp xúc với người nước ngoài","N2","17",",400dongtu,lesson4,",""
"動かす","うごかす","di chuyển , thay đổi","机を左側に動かそう。: Hãy chuyển cái bàn sang phía bên trái nào.<br>動かし得ない事実: sự thật không thể thay đổi","N2","18",",400dongtu,lesson4,",""
"慌てる","あわてる","hoảng hốt , hoảng loạn","突然の来客に慌てる。:　Khách đến bất ngờ làm rối cả lên.<br>慌てて逃げる:  cuống cuồng bỏ chạy","N2","19",",400dongtu,lesson4,",""
"裏返す","うらがえす","mặt trái , đảo ngược, nghịch đảo ","質問の裏返し: bẻ ngược lại câu hỏi <br>衣服の裏返しをする: lộn trái quần áo <br>裏返して洗濯する: lộn trái để giặt","N2","20",",400dongtu,lesson4,",""
"釣り合う","つりあう","cân đối, phù hợp , thích hợp","去年のわが家の収入と支出は釣り合っていなかった:。 Năm ngoái thu và chi của gia đình ta không cân đối.<br>こんな家具はこの家には釣り合わない。: Những đồ đạc  như thế này không phù hợp với căn nhà này.","N2","1",",400dongtu,lesson5,",""
"敷く","しく","trải, lát, đệm","下に木の板をしく:　Lót ván gỗ ở dưới<br>道にじゃりをしく: trải đá lên đường","N2","2",",400dongtu,lesson5,",""
"許す","ゆるす","Tha thứ, cho phép, miễn xá.","税を許す:miễn thuế<br>罪・過失を許す: tha thứ lỗi lầm, thiếu sót","N2","3",",400dongtu,lesson5,",""
"溺れる","おぼれる","bị chết đuối","彼はおぼれそうになった少女を助けた: Anh ấy cứu cô gái sắp chết đuối.<br> 酒色におぼれる: đắm chìm trong  tửu sắc <br>酒におぼれる: chìm ngập trong rượu <br>負債におぼれる: nợ nần chồng chất","N2","4",",400dongtu,lesson5,",""
"怒る","いかる","nổi giận","遅く帰ったら父に怒られちゃうわ: nếu về muộn tôi sẽ bị bố giân mắng mất thôi <br>そんなつまらないことで怒るな: đừng tức giận vì những điều vớ vẩn ấy","N2","5",",400dongtu,lesson5,",""
"助かる","たすかる","được giúp, được cứu","助かる見込みは五分五分:　cơ hội được cứu sống là 50%<br> 私は最近お金があまりないので、割り勘にしてもらえると助かる:　Gần đây tôi không có nhiều tiền nên mọi người chia đều ra trả được thì thật là tốt quá.","N2","6",",400dongtu,lesson5,",""
"留まる","とどまる","đọng lại, dừng lại, lưu lại","クリップで留まる: đóng lại bằng kẹp<br>ある女性雑誌に目が留まる: Để mắt đến 1 quyển tạp chí phụ nữ.<br>現職に留まる: giữ nguyên chức vụ hiện tại","N2","7",",400dongtu,lesson5,",""
"迫る","せまる","cưỡng bức, thúc giục, đến gần","返金を迫る: giục bắt phải trả nợ<br>敵が迫る: quân địch đã đến gần<br>死期が迫っている: giờ chết gần kề","N2","8",",400dongtu,lesson5,",""
"属する","ぞくする","thuộc vào loại, trực thuộc","先進国に属する: thuộc nhóm các nước phát triển","N2","9",",400dongtu,lesson5,",""
"横切る","よこぎる","Cắt ngang, xuyên qua, chạy ngang qua.","目の前を横切る:chạy ngang qua trước mắt","N2","10",",400dongtu,lesson5,",""
"鳴る","なる","kêu, hót","電話のベルが鳴る: tiếng chuông điện thoại reo","N2","11",",400dongtu,lesson5,",""
"弾く","はじく","đàn, gẫy đàn","ギターを弾く: chơi đàn ghi ta","N2","12",",400dongtu,lesson5,",""
"干す","ほす","Phơi, làm khô.","洗濯物を干す: phơi đồ giặt","N2","13",",400dongtu,lesson5,",""
"映す","うつす","copy , phản ánh","スクリーンにスライドを映す: Chiếu slide lên màn ảnh.<br>湖に影を映す: Đổ bóng lên mặt hồ","N2","14",",400dongtu,lesson5,",""
"匂う","におう","hửi, nghe mùi","香水がほのかににおう: Ngửi thấy mùi nước hoa phảng phất <br>たばこの煙がにおう: Ngửi thấy mùi thuốc lá.","N2","15",",400dongtu,lesson5,",""
"預かる","あずかる","giữ , phụ trách ( tự động từ)","彼は妹の家を預かっている: anh ấy đang trông nom nhà cho em gái tôi","N2","16",",400dongtu,lesson5,",""
"恨む","うらむ","hận, thù hận","彼女は担任の先生をひそかに恨んでいた。: Cô ấy ngấm ngầm căm tức thầy giáo chủ nhiệm<br>私は人に恨まれるようなことは何もしていない: Tôi chẳng làm việc gì để người khác thù ghét cả.","N2","17",",400dongtu,lesson5,",""
"当てはまる","あてはまる","áp dụng (một quy tắc)","この理論はすべての事実に当てはまる: Lý thuyết này có thể áp dụng vào mọi trường hợp","N2","18",",400dongtu,lesson5,",""
"塞ぐ","ふさぐ","Chặn (đường), chiếm (chỗ).","道[入口]をふさぐ: chặn đường [cửa vào] <br>場所をふさぐ: chiếm chỗ","N2","19",",400dongtu,lesson5,",""
"揃う","そろう","tập trung đầy đủ, tập hợp, sẵn sàng","その店はいろいろの商品をそろえている: Cửa hàng đó có nhiều mặt hàng phong phú . <br>あの人の所には中国の美術品がよくそろっている: Chỗ người đó có đầy đủ bộ sưu tập các tác phẩm mỹ thuật của Trung Quốc.","N2","20",",400dongtu,lesson5,",""
"逃がす","にがす","để mất, để tuột mất, để xổng","私はせっかくのチャンスを逃がした:   Tôi đã để tuột mất một cơ hội hiếm có.","N2","1",",400dongtu,lesson6,",""
"論じる","ろんじる","Tranh luận, tranh cãi.","弁護士は法廷でその事件を論じた: Luật sư tranh cãi vụ kiện (tranh tụng) trước tòa","N2","2",",400dongtu,lesson6,",""
"釣る","つる","câu cá","大魚を釣るためなら、小魚をエサにする価値がある: Lấy con cá nhỏ làm mồi để bắt con cá lớn <br>餌を水面に浮き沈みさせながら釣る:  để mồi trôi nổi trên mặt nước rồi câu cá","N2","3",",400dongtu,lesson6,",""
"無くす","なくす","làm mất","本を無くす: làm mất sách","N2","4",",400dongtu,lesson6,",""
"可愛がる","かわいがる","nâng niu, thương yêu, âu yếm","ペットを過度にかわいがる: yêu thích vật cưng quá mức","N2","5",",400dongtu,lesson6,",""
"涼む","すずむ","làm mát, làm nguội","夜風に涼む:hóng mát gió đêm <br>涼みに行く:đi hóng mát","N2","6",",400dongtu,lesson6,",""
"枯れる","かれる","héo , khô héo, tàn úa","畑が枯れる: Cánh đồng lúa khô héo <br>彼の芸は年と共に枯れて来た: Tài nghệ của anh ấy tàn úa cùng với tuổi tác","N2","7",",400dongtu,lesson6,",""
"表す","あらわす","bày tỏ , biểu hiện , trình bày","感謝の意を表する: biểu hiện lòng biết ơn<br>祝意[弔意]を表する : chia vui / chia buồn","N2","8",",400dongtu,lesson6,",""
"刺さる","ささる","mắc, hóc (xương…)","魚の骨がのどに刺さった: Tôi bị mắc một cái xương cá ở cổ họng<br>靴にびょうが刺さったらしい: Hinh như giầy bị mắc đá thì phải.","N2","9",",400dongtu,lesson6,",""
"代える","かえる","trao đổi , thay thế , thay thế","太陽エネルギは石炭と石油をかえます: năng lượng mặt trời sẽ thay thế cho năng lượng từ than và dầu","N2","10",",400dongtu,lesson6,",""
"凹む","へこむ","Lõm, hẳn xuống.","この部品の外面が凹んだ: Bề mặt bên ngoài của linh kiện này bị lõm xuống.","N2","11",",400dongtu,lesson6,",""
"振舞う","ふるまう","Hành vi, ứng xử.","公明正大に振る舞う: hành động quang minh chính đại<br>自然に振る舞う: hành vi tự nhiên","N2","12",",400dongtu,lesson6,",""
"差し引く","さしひく","trừ, khấu trừ","給料から差し引く: khấu trừ từ lương<br>バス代と本代を差し引いて、まだ千円ある:  trừ chi phí xe bus, chi phí mua sách ra thì vẫn còn 1000 Yên.","N2","13",",400dongtu,lesson6,",""
"生える","はえる","(cỏ ) mọc","雨期が始まると、あらゆるものにカビが生える。: khi mùa mưa bắt đầu nấm mốc mọc lên khắp nơi.","N2","14",",400dongtu,lesson6,",""
"見つかる","みつかる","Tìm thấy, tìm ra.","見つからないようにする: giấu để không thể tìm thấy.<br>彼の家はすぐ見つかった:  có thể tìm ngay ra nhà của anh ấy.","N2","15",",400dongtu,lesson6,",""
"努める","つとめる","cố gắng, nỗ lực","最近、私は「グローバライゼーション」と呼ばれるこの現象を理解しようと努めてる: Gần đây, tôi đang cố gắng để hiểu một cách chính xác cái được gọi là hiện tượng toàn cầu hóa này","N2","16",",400dongtu,lesson6,",""
"捕まえる","つかまえる","nắm, bắt giữ","人を捕まえる: bắt giữ ai<br>彼は僕の袖をつかまえて離そうとしなかった: Hắn nắm lấy tay áo tôi không chieu buông ra.","N2","17",",400dongtu,lesson6,",""
"確かめる","たしかめる","xác nhận, làm cho rõ ràng","金額を確かめる: xác nhận số tiền<br>念を入れて確かめる: xác nhận cho chắc.","N2","18",",400dongtu,lesson6,",""
"ぶつかる","ぶつかる","Va vào, đập vào, đụng, tông vào","壁にぶつかる : tông vào tường<br>石が頭にぶつかる: đá đập vào đầu<br>車が木にぶつかる: Xe tông vào cây","N2","19",",400dongtu,lesson6,",""
"折れる","おれる","bẻ , gập lại","そんなに曲げるな折れるから: đừng bẻ như thế, nó sẽ gẫy đấy<br>二つに折れる: Bẻ làm hai.<br>枝が折れ落ちる: cành cây gãy rơi xuống đất. ","N2","20",",400dongtu,lesson6,",""
"渇く","かわく","khát, khô","ちょっとのどが渇いてきた: em hơi khát<br>愛に渇く: khát khao tình yêu.","N2","1",",400dongtu,lesson7,",""
"払い戻す","はらいもどす","Trả lại / hoàn lại tiền ","代金を払い戻す: hoàn trả tiền mua hàng.","N2","2",",400dongtu,lesson7,",""
"膨らます","ふくらます","Làm to lên, làm phòng ra.","風船をふくらます: thổi bong bóng<br>パンをふくらます: làm phồng bánh mì.","N2","3",",400dongtu,lesson7,",""
"嗅ぐ","かぐ","đánh hơi, ngửi","私は私の鼻で臭いを嗅ぐ。:Tôi ngửi mùi bằng chính mũi của tôi.<br>ちょっとそれを嗅いでみた: Thử ngửi thử cái này xem.","N2","4",",400dongtu,lesson7,",""
"叩く","たたく","vỗ, đánh, đập, tát","子どもの頃はよく母親にお尻を叩かれた:Khi còn bé, tôi hay bị mẹ phạt đánh vào mông","N2","5",",400dongtu,lesson7,",""
"支える","ささえる","giúp đỡ, hỗ trợ, ủng hộ","一家のくらしを支える:duy trì cuộc sống của cả gia đinh","N2","6",",400dongtu,lesson7,",""
"争う","あらそう","tranh chấp , tranh luận , cạnh tranh","一人の女性をめぐって争う: đánh nhau vì một người phụ nữ","N2","7",",400dongtu,lesson7,",""
"被せる","かぶせる","đổ trách nhiệm , chụp mũ, che phủ","罪を被せる: gán tội cho người khác<br>テーブルに白い布をかぶせる: phủ khăn trắng lên bàn","N2","8",",400dongtu,lesson7,",""
"囁く","ささやく","thì thầm, xào xạc","耳にささやく: thì thầm vào tai","N2","9",",400dongtu,lesson7,",""
"黙る","だまる","im lặng","話の途中で黙る: đang nữa chừng câu chuyện thì im bặt<br>黙れ!: Im đi.<br>そのことについては黙っていたほうがいい: Liên quan đến vụ đó, cậu nên im lặng thì hơn<br>よく彼女は黙って欠勤する:  Cô ấy thường xuyên nghỉ làm mà không xin phép .","N2","10",",400dongtu,lesson7,",""
